URL,Page Title,Meta Description,H1,Page Type,Main Topic,Treatments Mentioned,Locations Mentioned,Professional Facts,Contact Information,Images,Video,Testimonials,Publications,FAQs,Downloadable Files,Internal Links (approx count),Canonical URL,Indexability,Word Count (approx),Last Updated Evidence,Clinical Content Status,Recommended Migration Action
"https://www.keyholesurgeon.co.uk/","Prof. Hemant Sheth | Laparoscopic Surgeon London | Anti Reflux Surgery Hertfordshire","not captured","Advanced Technology, Patient-Centered Care","Homepage","Practice overview / homepage hub","Anti-reflux surgery; laparoscopic cholecystectomy; hernia repair; UGI endoscopy (general list, no detail)","Spire Bushey; Clementine Churchill; Wellington Elstree Waterfront (Syon Clinic NOT mentioned)","Title 'Prof. Hemant Sheth'; qualifications 'MBBS, MS, FRCS, MD (RES)'; tagline 'Consultant General & Laparoscopic Surgeon'; 'Specialist in Upper GI & HPB Surgery'; no GMC number stated on homepage itself","Secretary Nehali Christian named in site-wide content; phone numbers not visible in homepage extract","Profile photo, institutional logos (not itemised)","1 (Q__rvX_EEGQ, Ealing Hospital robotic surgery national record)","3 named (Charles Clarke, Deepa Pathare, Devendarsingh Banker)","Not listed on homepage; see Research page","None found","None found","20+ (nav + footer)","not captured","unknown (indexable per robots meta on subpages; homepage not separately checked)","not captured (not fetched in this pass; prior extraction only)","not found on page","REWRITE REQUIRED (promotional tone; needs stat verification)","REWRITE / MERGE into new homepage hero+overview, verify every stat before reuse"
"https://www.keyholesurgeon.co.uk/dr-hemant-sheth-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Prof. Hemant Sheth | General Surgeon Hertfordshire | HPB Surgery Harrow","not found on page","Prof. Hemant Sheth","About/Bio","Full professional biography","Anti-reflux (fundoplication); diaphragmatic hernia; lap. cholecystectomy + CBD exploration; UGI endoscopy; inguinal/epigastric/umbilical/ventral/incisional hernia; splenectomy; liver resection; liver cyst surgery","Spire Bushey (WD23 1RD); Clementine Churchill (HA1 3RX); Wellington Elstree Waterfront (WD6 3BS); NHS base Ealing/London Northwest Trust (Uxbridge Road, Southall UB1 3HW)","Title 'Prof. Hemant Sheth' throughout; GMC '4567912' (labelled 'GMC registration'); qualifications: Clinical Professor (2023); FRCS(Eng) 2009; MD(Res) UCL 2010; FRCS(Glasgow) 1996; MS Mumbai 1994; MBBS Mumbai 1990; memberships RCS Eng, ASGBI, BMA, AUGIS, EAHPBA, IHPBA; Surgical Tutor RCS England (2012); languages Gujarati/Hindi/Marathi/Konkani; awards 'clinical excellence awards'","Online booking link only; no phone/email visible in this page's own body","Logo; profile photo alt-text 'Dr Hemant Sheth' (inconsistent with 'Prof.' body copy); certificate image; YPO platform logo","None found on this page","None on this page (see Testimonials page)","MS thesis 'Splenectomy for haematological disorders' (1994); MD thesis 'Therapeutic Modulation of Liver Ischaemia Reperfusion Injury' (UCL); partial 16-item summary of the fuller 20-item Research page list","None found","None found","8 internal + 4 social","not captured","unknown","~2800-3000","not found on page","CLINICAL REVIEW REQUIRED (GMC number, Professor title, awards wording)","KEEP as source for new About page content, REWRITE for tone/British English, CLINICAL REVIEW REQUIRED before publishing GMC number or Professor title"
"https://www.keyholesurgeon.co.uk/contact-us-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Contact | Prof. Hemant Sheth, Consultant General, Laparoscopic, Upper GI & HPB Surgeon, Hertfordshire, Harrow, Northwest London","not found on page","Contact","Contact/Locations","3 clinic locations, hours, fees, contact form","Spire Bushey (Mon 19:00-20:00, alt. Thu 10:30-12:00); Clementine Churchill (Mon 17:30-18:30, Thu 14:00-17:00); Wellington Elstree Waterfront (hours not captured). Syon Clinic explicitly NOT found on this page.","Title 'Prof. Hemant Sheth'; taglines as above","Secretary 'Nehali Christian'; email JS-obfuscated/not captured; consultation fees '£220' initial / '£180' follow-up (format ambiguous); phone numbers NOT surfaced by text-mode fetch for any of the 3 hospitals (needs browser re-check)","Not itemised in this pass","None","None on this page","None","None found/reported","None found","not itemised","not captured","unknown","~650","not found on page","LEGACY - NEEDS CONFIRMATION (fees, hours, phone gap)","KEEP as base for new Locations content, CONFIRM phone numbers via browser/client before reuse, RECONCILE fee figures against rebuild's £250/£180"
"https://www.keyholesurgeon.co.uk/patient-reviews-testimonials-f14143/","Patient Reviews | Upper GI Specialist London | General Surgeon Hertfordshire","not found on page","(not distinctly captured; page heading 'Patient Reviews')","Testimonials","18 patient/colleague reviews across 6 paginated pages, some via IWantGreatCare","None referenced (mixed procedures: endoscopy, lap. cholecystectomy, hernia repair, gallbladder surgery)","Title used inconsistently: majority 'Mr Sheth'/'Mr. Sheth', several 'Dr Sheth'/'Dr. Sheth', NONE use 'Prof.' anywhere in the 18 testimonials","One testimonial mentions 'PA Amit' (possible discrepancy with Contact page's 'Nehali Christian')","Profile image; ~5 institutional logos","None found","18 testimonials (7 truncated with unresolved '[Read more]'); 1 entry is stale YPO platform test/spam data, NOT a real testimonial","None","None found","None found","20+ (not individually itemised)","not captured","unknown","~800 (page 1) / 3000-4000 total est.","not found on page","LEGACY - NEEDS CONFIRMATION (consent/publication rights unknown for all 18)","REVIEW - do not migrate any testimonial without consent confirmation; RETIRE the stale YPO test-data entry; DO NOT MIGRATE spam entry"
"https://www.keyholesurgeon.co.uk/research-and-publications-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Research & Publications | Prof. Sheth | Upper GI Specialist in Harrow UK","not found on page","Research & Publications","Research/Publications","N/A","Institutional affiliations only (Royal Free London, UCL) via external links","Title 'Prof. Sheth'; reveals full name via external link 'Hemant Dhansukh Sheth' (Circle Health Group profile)","None on this page","Not itemised","None","None","20 peer-reviewed publications 2005-2017 with authors/years/some DOIs (full list in publication-register.md)","None found","None found","3 internal + 5 external","not captured","unknown","~1200","not found on page","VERIFIED (2 of 20 titles independently located via WebSearch; remainder old-site-only)","KEEP - migrate full 20-item list into new Research/Publications section, cite DOIs where available"
"https://www.keyholesurgeon.co.uk/media-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not found on page","not found on page","Media","Media hub (thin/portal page)","Links to Testimonials, Healthcare News, In the News sub-sections","None directly","Tagline 'UGI & Hepatobiliary laparoscopic & Robotic Surgeon'","None","6 institutional/social logos","None found (surprising given page name; likely JS-rendered content missed by text fetch)","None directly (links out)","None","None found","None found","30+ (not itemised)","not captured","unknown","~150-200 (thin page)","not found on page","LEGACY - NEEDS CONFIRMATION (video content likely exists but not captured)","INVESTIGATE - re-crawl with browser-rendering tool before deciding KEEP/RETIRE; sub-pages (Healthcare News, In the News) not yet crawled"
"https://www.keyholesurgeon.co.uk/services-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not found on page","not found on page","Services","Services directory","Categorised list of 10 procedures under 4 headings","Clementine Churchill named; NHS Royal Free London; NHS London North West","Title 'Prof. Sheth' throughout","None","Category icon images","None","None","None","None found/reported","None found","4 (leads to individual procedure pages)","not captured","unknown","~350-400","not found on page","VERIFIED (matches treatment pages found)","MERGE into new Treatments Index section structure (already exists in rebuild as treatmentsIndex.ts)"
"https://www.keyholesurgeon.co.uk/upper-gi-endoscopy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Upper GI Endoscopy","Treatment page","Diagnostic/therapeutic UGI endoscopy (EGD)","Upper GI Endoscopy","Clementine Churchill; NHS Royal Free London; NHS London North West; UCL","Byline tagline only","None on page","Profile photo","None found","None","None","None found","None found","20+","not captured","unknown","~1200-1400","not found on page (generic copyright line only)","REWRITE REQUIRED (templated vendor copy)","KEEP as clinical base text, REWRITE into plain British English, CLINICAL REVIEW REQUIRED before publishing risk/complication wording"
"https://www.keyholesurgeon.co.uk/anti-reflux-surgery-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Anti-Reflux Surgery","Treatment page","Laparoscopic Nissen Fundoplication for GERD","Anti-Reflux Surgery / Nissen Fundoplication","Clementine Churchill; NHS Royal Free London; NHS London North West","Byline tagline only; laparoscopic-only technique described (no robotic technique on this page)","None on page","Placeholder images","None found","None","None","None found","None found","20+","not captured","unknown","~850-900","not found on page","REWRITE REQUIRED / CLINICAL REVIEW REQUIRED (risk list is thin)","KEEP as base, REWRITE, CLINICAL REVIEW REQUIRED, consider adding robotic option post-verification"
"https://www.keyholesurgeon.co.uk/laparoscopic-common-bile-duct-exploration-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Laparoscopic Common Bile Duct Exploration","Treatment page","CBD stone removal","Laparoscopic CBD Exploration","Clementine Churchill; NHS Royal Free London; NHS London North West","Byline tagline only","None on page","Profile image; YouTube channel link only, no embedded video","None found","None","None","None found","None found","20+","not captured","unknown","~250 (short)","not found on page","REWRITE REQUIRED (thin content)","KEEP as base, REWRITE and EXPAND (recovery/follow-up missing), CLINICAL REVIEW REQUIRED"
"https://www.keyholesurgeon.co.uk/laparoscopic-liver-resection-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Laparoscopic Liver Resection","Treatment page","Partial/whole liver resection (hepatectomy)","Laparoscopic Liver Resection","Clementine Churchill; NHS Royal Free London; UCL; NHS London North West","Byline tagline only","None on page","2x profile image","None found","None","None","None found","None found","20+","not captured","unknown","~550","not found on page","CLINICAL REVIEW REQUIRED (ambiguous/possibly erroneous line re: transplantation)","KEEP as base, REWRITE, CLINICAL REVIEW REQUIRED - flag 'complete resection requires transplantation' line for correction"
"https://www.keyholesurgeon.co.uk/splenectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Splenectomy","Treatment page","Surgical spleen removal (open + laparoscopic)","Splenectomy","Clementine Churchill; NHS Royal Free London; NHS London North West","Byline tagline only","None on page","Placeholder images","None found","None","None","None found","None found","26+","not captured","unknown","~300-350 (short)","not found on page","REWRITE REQUIRED (no recovery/follow-up content)","KEEP as base, REWRITE and EXPAND, CLINICAL REVIEW REQUIRED"
