source_file,source_index,source_group,pair_id,page_number,page_role,orientation,rotation_required,content_type,testimonial_type,staff_recognition,duplicate_group,public_candidate,publication_status,consent_status,exclusion_reason,original_asset,normalised_asset,notes
fwpatientfeedbackbatch4\Clem NHS patient feedback 1.pdf,1,NHS patient feedback,feedback-001,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-001.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch4\Clem NHS patient feedback 1.pdf,2,NHS patient feedback,feedback-001,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-002.jpg,/patient-feedback-clean/feedback-card-002.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\Clem NHS patient feedback 2022-1.pdf,3,NHS patient feedback,feedback-003,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-003.jpg,/patient-feedback-clean/feedback-card-003.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\Clem NHS patient feedback 2022-1.pdf,4,NHS patient feedback,feedback-003,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-004.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch4\Clem NHS patient feedback 2022.pdf,5,NHS patient feedback,feedback-005,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-005.jpg,/patient-feedback-clean/feedback-card-005.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\Clem NHS patient feedback 2022.pdf,6,NHS patient feedback,feedback-006,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-006.jpg,/patient-feedback-clean/feedback-card-006.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\Clem NHS patient feedback 2022.pdf,7,NHS patient feedback,feedback-006,3,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-007.jpg,/patient-feedback-clean/feedback-card-007.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\NHS patient thank you card 2022.pdf,8,NHS patient feedback,feedback-008,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-008.jpg,/patient-feedback-clean/feedback-card-008.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\NHS patient thank you card 2022.pdf,9,NHS patient feedback,feedback-008,2,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-009.jpg,/patient-feedback-clean/feedback-card-009.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch4\PP thank you card 2022 clem.pdf,10,Private patient feedback,feedback-001-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-001,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-010.jpg,,Exact duplicate decorative cover
