Old URL,Old Page Title (as captured),Action,Rationale,Target new route/anchor (SPA — anchors until dedicated routes exist),Priority,Notes
"https://www.keyholesurgeon.co.uk/","Prof. Hemant Sheth | Laparoscopic Surgeon London | Anti Reflux Surgery Hertfordshire",KEEP,"Homepage stays the homepage; content needs rewriting/verification, not redirecting","/ (site root)",High,"Preserve as canonical root; ensure new homepage covers equivalent search intent (name + specialty + location)"
"https://www.keyholesurgeon.co.uk/dr-hemant-sheth-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Prof. Hemant Sheth | General Surgeon Hertfordshire | HPB Surgery Harrow",REDIRECT,"Strong existing SEO equity for name+specialty+location keywords; content maps directly to About section",/#about (or dedicated /about route if created),High,"Do not redirect to homepage root alone — redirect specifically to the About section/route to preserve search intent"
"https://www.keyholesurgeon.co.uk/contact-us-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Contact | Prof. Hemant Sheth...",REDIRECT,"Direct content match to Locations/Contact",/#clinics (or dedicated /contact route),High,"Verify phone numbers and hours before final publish (see location-verification.md)"
"https://www.keyholesurgeon.co.uk/services-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Services",MERGE,"Legacy directory content maps to existing treatmentsIndex.ts structure",/#treatments,Medium,"Merge legacy's 4-category grouping (Upper GI / HPB / Hernia / Other) into new Treatments Index"
"https://www.keyholesurgeon.co.uk/patient-education-videos-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Patient Education Videos",INVESTIGATE,"Content not fully crawlable (JS-rendered); do not decide redirect target until re-crawled with a browser tool",TBD,High,"See media-inventory.md item 3"
"https://www.keyholesurgeon.co.uk/conditions-gastroenterology-gastrointestinal-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Gastroenterology Conditions",INVESTIGATE,"Directory page; 16 linked condition pages not yet individually crawled",TBD (likely /#treatments or a future /conditions section),Medium,"Crawl the 16 linked pages before finalising"
"https://www.keyholesurgeon.co.uk/general-conditions-laparoscopic-surgeon-hertfordshire-harrow-london/","General Surgery Conditions",INVESTIGATE,"Directory page; 10 linked condition pages not yet individually crawled",TBD,Medium,"Crawl the 10 linked pages before finalising; note possible duplicate with Incisional Hernia Repair treatment page"
"https://www.keyholesurgeon.co.uk/patient-forms-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Patient Forms",RETIRE,"Legacy page is an empty 'Coming Soon' placeholder with no actual content to preserve",N/A — new Patient Forms content (if any) should be built fresh,Low,"Redirect to a relevant Patient Info anchor if the URL still gets traffic, otherwise let it 404/301 to homepage as a last resort only after confirming no residual traffic"
"https://www.keyholesurgeon.co.uk/first-visit-guide-general-laparoscopic-surgeon-hertfordshire-harrow-london/","First Visit | Prof. Hemant Sheth...",REDIRECT,"Real content exists (what to bring, cancellation policy); maps to Patient Journey content",/#patient-info,Medium,"Rewrite content; do not blank-redirect to homepage"
"https://www.keyholesurgeon.co.uk/post-op-instructions-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Post op Instruction...",REDIRECT,"Real clinical content exists; needs clinical review before republishing, but the URL/intent should be preserved",/#patient-info (or dedicated post-op route),Medium,"CLINICAL REVIEW REQUIRED before content goes live at the new location"
"https://www.keyholesurgeon.co.uk/insurance-info-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Insurance Info...",RETIRE,"Legacy page is an empty 'Coming Soon' placeholder",N/A — new Insurance content should be built fresh and confirmed with the client,Low,"Same treatment as Patient Forms above"
"https://www.keyholesurgeon.co.uk/useful-links-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Useful Links...",MERGE,"Real content (affiliations/resources); low individual traffic value, merge into About/Affiliations content",/#about,Low,"Verify each external link still resolves before merging"
"https://www.keyholesurgeon.co.uk/general-appointment-laparoscopic-surgeon-hertfordshire-harrow-london/","General Appointment...",REDIRECT,"Direct content match to the Appointment/booking flow; high commercial intent, must not be lost",Booking modal trigger, or dedicated /appointment route if created (see task's mention of a missing 'appointment route'),High,"This is a high commercial-intent URL — do not merge into a generic page; give it a specific, direct target"
"https://www.keyholesurgeon.co.uk/general-appointment-laparoscopic-surgeon-hertfordshire-harrow-london/#Online","General Appointment (Online anchor)",REDIRECT,"Same page as above, anchor variant",Same target as above,High,"Same as above"
"https://www.keyholesurgeon.co.uk/upper-gi-endoscopy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Upper GI Endoscopy",REDIRECT,"Dedicated treatment page with real SEO equity; must map to its own equivalent, not the general treatments list",/#treatments (anchor now; dedicated /treatments/upper-gi-endoscopy route recommended),High,"Never redirect an individual treatment page to the homepage — preserve procedure-specific search intent"
"https://www.keyholesurgeon.co.uk/anti-reflux-surgery-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Anti-Reflux Surgery",REDIRECT,"Dedicated treatment page",/#treatments (dedicated /treatments/anti-reflux-surgery route recommended),High,"Matches rebuild's existing 'anti-reflux-fundoplication' procedure entry"
"https://www.keyholesurgeon.co.uk/laparoscopic-common-bile-duct-exploration-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Laparoscopic Common Bile Duct Exploration",REDIRECT,"Dedicated treatment page",/#treatments (dedicated /treatments/bile-duct-exploration route recommended),Medium,"Matches rebuild's treatmentsIndex.ts 'Bile Duct Exploration' entry"
